Renewable energy sources
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Sewage gas,0.138,0.151,0.151,0.158,0.17,0.193,0.193,0.192,0.181,0.189,0.169,0.168,0.174,0.165,0.177,0.206,0.19,0.211,0.23,0.249,0.286,0.315,0.3,0.318,0.345,0.364
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Poultry litter,0,0,0.015,0.036,0.065,0.065,0.065,0.065,0.073,0.114,0.14,0.171,0.165,0.162,0.152,0.147,0.139,0.14,0.162,0.157,0.164,0.167,0.163,0.177,0.175,0.184
