Energy Consumption in Petajoules
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Direct use of energy from fossil fuels,8516.3,8694.2,8527,8496.8,8467.7,8473.3,8974.7,8749.3,8911.3,8945.9,9134.7,9286.3,9048.4,9250.5,9388.2,9394.5,9206.9,9101.2,8998.9,8243.9,8554.3,7854.9,7923.6,7717.6,7163.8,7019.3
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Energy from other sources,785.5,851.4,901.8,1035.9,1046,1053.5,1093.9,1093.9,1151.6,1114.7,1009.6,1051.8,1027.8,1014.8,979.8,1018.4,978.2,854.8,832.5,976,958.7,1072.9,1116.4,1215.8,1257.2,1453
