Greenhouse gas emissions
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Manufacture of alcoholic beverages,1941,1958.9,1906.3,1841.8,1884.4,1829.4,1741.4,1542.2,1298.5,1241.9,1204.5,1339.8,1645.7,1856.4,1486.5,1444.8,1506,1501,1396.1,1131.6,1222.6,1240.3,1234.8,1264.1,1308.6,1316.2
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Manufacture of soft drinks,261.3,243.3,239.7,226.3,225.8,229.9,209.5,193,193.7,194.4,218.9,232.8,218.3,204.1,212.7,229.2,240.4,238.8,215,178.8,182.8,178.9,176.4,173.5,181.6,182.2
