Greenhouse gas emissions from production of coal against petroleum and natural gas
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Coal,22632.9,23193.6,22961.0,21222.7,14163.8,15369.0,14197.1,13608.4,11528.2,9569.6,8266.0,7412.1,7267.1,6052.0,5441.3,4055.8,3684.0,3021.3,3073.5,2967.7,2795.6,2666.6,2645.3,1894.1,1882.9,1577.0
Year,01/01/1990,01/01/1991,01/01/1992,01/01/1993,01/01/1994,01/01/1995,01/01/1996,01/01/1997,01/01/1998,01/01/1999,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Petroleum and natural gas,16721.5,16879.1,17749.6,18657.6,21085.4,22494.6,24289.5,24373.9,25357.7,25096.2,24780.9,25381.9,25993.7,24034.4,23559.9,23091.3,21394.3,21351.8,20357.8,20166.0,20197.5,18684.6,17570.7,17289.3,16965.1,17971.7
